district_id,county_id,subcounty_id,district,county,subcounty,year,ownership,level,title,gender,value,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Headteacher,Male,5,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Headteacher,Female,0,,, 
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Deputy Headtacher,Male,2,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Education Assistant,Male,19,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Education Assistant,Female,12,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Senior Education Assistant,Male,4,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Government,Primary,Senior Education Assistant,Female,1,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Headteacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Headteacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Deputy Headtacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Education Assistant,Male,11,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Education Assistant,Female,10,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Headteacher,Male,1,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Headteacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Deputy Headtacher,Male,1,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Deputy Headtacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Education Assistant,Male,12,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Education Assistant,Female,11,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Senior Education Assistant,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Bbaale,2022,Private,Secondary,Senior Education Assistant,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Headteacher,Male,7,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Headteacher,Female,3,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Deputy Headtacher,Male,4,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Deputy Headtacher,Female,1,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Education Assistant,Male,48,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Education Assistant,Female,21,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Senior Education Assistant,Male,5,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Primary,Senior Education Assistant,Female,3,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Headteacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Headteacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Deputy Headtacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Education Assistant,Male,2,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Education Assistant,Female,5,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Private,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Headteacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Headteacher,Female,1,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Deputy Headtacher,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Deputy Headtacher,Female,1,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Education Assistant,Male,14,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Education Assistant,Female,4,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Senior Education Assistant,Male,0,,,
d102,c101,s102,Kayunga,Bbaale,Galiraya,2022,Government,Secondary,Senior Education Assistant,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Headteacher,Male,22,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Headteacher,Female,5,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Deputy Headtacher,Male,11,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Deputy Headtacher,Female,5,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Education Assistant,Male,116,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Education Assistant,Female,74,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Senior Education Assistant,Male,4,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Primary,Senior Education Assistant,Female,8,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Headteacher,Male,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Headteacher,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Deputy Headtacher,Male,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Education Assistant,Male,20,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Education Assistant,Female,16,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,private,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Headteacher,Male,1,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Headteacher,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Deputy Headtacher,Male,1,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Deputy Headtacher,Female,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Education Assistant,Male,14,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Education Assistant,Female,4,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Senior Education Assistant,Male,0,,,
d102,c101,s103,Kayunga,Bbaale,Kayonza,2022,Government,Secondary,Senior Education Assistant,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Headteacher,Male,11,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Headteacher,Female,5,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Deputy Headtacher,Male,5,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Deputy Headtacher,Female,5,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Education Assistant,Male,70,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Education Assistant,Female,47,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Senior Education Assistant,Male,6,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Senior Education Assistant,Female,1,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Private,Primary,Headteacher,Male,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Headteacher,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Deputy Headtacher,Male,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Education Assistant,Male,4,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Education Assistant,Female,6,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Headteacher,Male,1,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Headteacher,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Deputy Headtacher,Male,1,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Education Assistant,Male,13,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Education Assistant,Female,4,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,2022,Government,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Headteacher,Male,17,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Headteacher,Female,5,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Deputy Headtacher,Male,7,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Deputy Headtacher,Female,5,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Education Assistant,Male,75,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Education Assistant,Female,64,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Senior Education Assistant,Male,9,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Primary,Senior Education Assistant,Female,6,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Headteacher,Male,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Headteacher,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Deputy Headtacher,Male,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Deputy Headtacher,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Education Assistant,Male,8,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Education Assistant,Female,7,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Senior Education Assistant,Male,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Private,Primary,Senior Education Assistant,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Headteacher,Male,1,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Headteacher,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Deputy Headtacher,Male,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Deputy Headtacher,Female,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Education Assistant,Male,12,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Education Assistant,Female,7,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Senior Education Assistant,Male,0,,,
d102,c101,s105,Kayunga,Ntenjeru,Busaana,2022,Government,Secondary,Senior Education Assistant,Female,0,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Headteacher,Male,8,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Headteacher,Female,2,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Deputy Headtacher,Male,5,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Deputy Headtacher,Female,3,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Education Assistant,Male,38,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Education Assistant,Female,38,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Senior Education Assistant,Male,3,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Primary,Senior Education Assistant,Female,4,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Headteacher,Male,1,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Headteacher,Female,0,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Deputy Headtacher,Male,0,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Deputy Headtacher,Female,1,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Education Assistant,Male,23,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Education Assistant,Female,10,,,
d102,c101,s110,Kayunga,Ntenjeru,Busaana Town Council,2022,Government,Secondary,Senior Education Assistant,Male,0,,,
